TLD,Alexa #,Domain #,Start Date,Zone,Whois Server,Registry
com,261079,153260052,1985-01-01,com,whois.verisign-grs.com,"<a class=""jqgrid-link"" href=""http://www.verisigninc.com"" target=""_blank"">http://www.verisigninc.com</a>"
ru,27980,0,1994-04-07,ru,whois.tcinet.ru,"<a class=""jqgrid-link"" href=""http://www.cctld.ru/en"" target=""_blank"">http://www.cctld.ru/en</a>"
ir,19858,0,1994-04-06,ir,whois.nic.ir,"<a class=""jqgrid-link"" href=""http://www.nic.ir"" target=""_blank"">http://www.nic.ir</a>"
net,19480,13282076,1985-01-01,net,whois.verisign-grs.com,"<a class=""jqgrid-link"" href=""http://www.verisigninc.com"" target=""_blank"">http://www.verisigninc.com</a>"
org,17243,10388953,1985-01-01,org,whois.pir.org,"<a class=""jqgrid-link"" href=""http://www.pir.org"" target=""_blank"">http://www.pir.org</a>"
in,8330,0,1989-05-08,in,whois.registry.in,"<a class=""jqgrid-link"" href=""http://www.registry.in"" target=""_blank"">http://www.registry.in</a>"
ua,6069,0,1992-12-01,ua,whois.ua,"<a class=""jqgrid-link"" href=""http://hostmaster.ua/"" target=""_blank"">http://hostmaster.ua/</a>"
tr,5385,0,1990-09-17,tr,whois.nic.tr,"<a class=""jqgrid-link"" href=""http://www.nic.tr"" target=""_blank"">http://www.nic.tr</a>"
io,5338,0,1997-09-16,io,whois.nic.io,"<a class=""jqgrid-link"" href=""http://www.nic.io/"" target=""_blank"">http://www.nic.io/</a>"
au,4949,0,1986-03-05,au,whois.auda.org.au,"<a class=""jqgrid-link"" href=""https://www.auda.org.au/domains/au-domains/"" target=""_blank"">https://www.auda.org.au/domains/au-domains/</a>"
co,4779,0,1991-12-24,co,whois.nic.co,"<a class=""jqgrid-link"" href=""http://www.cointernet.com.co"" target=""_blank"">http://www.cointernet.com.co</a>"
gr,4353,0,1989-02-19,gr,"","<a class=""jqgrid-link"" href=""http://www.gr"" target=""_blank"">http://www.gr</a>"
vn,4211,0,1994-04-14,vn,"","<a class=""jqgrid-link"" href=""http://www.vnnic.net.vn"" target=""_blank"">http://www.vnnic.net.vn</a>"
uk,3856,0,1985-07-24,uk,whois.nic.uk,"<a class=""jqgrid-link"" href=""http://www.nic.uk/"" target=""_blank"">http://www.nic.uk/</a>"
ca,3451,0,1987-05-14,ca,whois.cira.ca,"<a class=""jqgrid-link"" href=""http://www.cira.ca/"" target=""_blank"">http://www.cira.ca/</a>"
id,3248,0,1993-02-27,id,whois.id,"<a class=""jqgrid-link"" href=""https://pandi.id"" target=""_blank"">https://pandi.id</a>"
info,3198,3939430,2001-06-26,info,whois.afilias.net,"<a class=""jqgrid-link"" href=""http://www.nic.info"" target=""_blank"">http://www.nic.info</a>"
jp,2551,0,1986-08-05,jp,whois.jprs.jp,"<a class=""jqgrid-link"" href=""https://jprs.jp/"" target=""_blank"">https://jprs.jp/</a>"
de,2358,0,1986-11-05,de,whois.denic.de,"<a class=""jqgrid-link"" href=""http://www.denic.de/"" target=""_blank"">http://www.denic.de/</a>"
il,2323,0,1985-10-24,il,whois.isoc.org.il,"<a class=""jqgrid-link"" href=""http://www.isoc.org.il/domains"" target=""_blank"">http://www.isoc.org.il/domains</a>"
xyz,2276,3025704,2014-02-06,xyz,whois.nic.xyz,"<a class=""jqgrid-link"" href=""https://nic.xyz"" target=""_blank"">https://nic.xyz</a>"
me,2096,0,2007-09-24,me,whois.nic.me,"<a class=""jqgrid-link"" href=""http://www.domain.me"" target=""_blank"">http://www.domain.me</a>"
fr,1984,0,1986-09-02,fr,whois.nic.fr,"<a class=""jqgrid-link"" href=""http://www.nic.fr/"" target=""_blank"">http://www.nic.fr/</a>"
tv,1624,0,1996-03-18,tv,tvwhois.verisign-grs.com,"<a class=""jqgrid-link"" href=""http://www.tv"" target=""_blank"">http://www.tv</a>"
by,1539,0,1994-05-10,by,whois.cctld.by,"<a class=""jqgrid-link"" href=""https://cctld.by"" target=""_blank"">https://cctld.by</a>"
tw,1539,0,1989-07-31,tw,whois.twnic.net.tw,"<a class=""jqgrid-link"" href=""http://rs.twnic.net.tw"" target=""_blank"">http://rs.twnic.net.tw</a>"
online,1511,1787268,2015-03-06,online,whois.nic.online,"<a class=""jqgrid-link"" href=""http://www.radixregistry.com"" target=""_blank"">http://www.radixregistry.com</a>"
edu,1374,0,1985-01-01,edu,whois.educause.edu,"<a class=""jqgrid-link"" href=""http://www.educause.edu/edudomain"" target=""_blank"">http://www.educause.edu/edudomain</a>"
